DB_id,Drug_name,Approved,DB_interactions
DB00001,Lepirudin,approved,DB01381;DB00374
DB00002,Cetuximab,approved,
DB00003,Dornase alfa,approved,
DB00004,Denileukin diftitox,approved,DB00072
DB00005,Etanercept,approved,DB08895;DB00072
DB00006,Bivalirudin,approved,DB01609;DB00441;DB01381;DB06228;DB00374
DB00007,Leuprolide,approved,
DB00008,Peginterferon alfa-2a,approved,DB00651;DB06414;DB01265;DB00277
DB00009,Alteplase,approved,DB01381;DB00727;DB00208
DB00010,Sermorelin,approved,
DB00011,Interferon alfa-n1,approved,DB00651;DB00277
DB00012,Darbepoetin alfa,approved,
DB00013,Urokinase,approved,DB06692;DB00055;DB01381
DB00014,Goserelin,approved,
DB00015,Reteplase,approved,DB01381;DB00208
DB00016,Epoetin alfa,approved,
DB00017,Salmon Calcitonin,approved,
DB00019,Pegfilgrastim,approved,
DB00020,Sargramostim,approved,
DB00021,Secretin,approved,DB01409;DB01036;DB00376;DB00209
DB00022,Peginterferon alfa-2b,approved,DB00651;DB00277
DB00023,Asparaginase,approved,DB00072
DB00024,Thyrotropin Alfa,approved,
DB00025,Antihemophilic Factor,approved,
DB00026,Anakinra,approved,DB06168;DB08904;DB06674;DB01041;DB08895;DB00072
DB00027,Gramicidin D,approved,
DB00028,Intravenous Immunoglobulin,approved,
DB00029,Anistreplase,approved,
DB00030,Insulin Regular,approved,DB06655
DB00031,Tenecteplase,approved,DB06692;DB00055;DB01381;DB00208
DB00032,Menotropins,approved,
DB00034,"Interferon Alfa-2a, Recombinant",approved,DB00651;DB00277
DB00035,Desmopressin,approved,
DB00038,Oprelvekin,approved,
DB00039,Palifermin,approved,DB06813
DB00040,Glucagon recombinant,approved,
DB00041,Aldesleukin,approved,DB01013;DB00838;DB01285
DB00043,Omalizumab,approved,
DB00044,Lutropin alfa,approved,
DB00046,Insulin Lispro,approved,DB01193;DB00335;DB00612;DB01136;DB00647;DB00280;DB00584;DB00668;DB00187;DB01039;DB00472;DB00678;DB00104;DB00806;DB01278;DB00635;DB00178
DB00048,Collagenase,approved,
